arterial_network,INSERT,{Trunk of right inferior gluteal artery;Trunk of coccygeal branch of right inferior gluteal artery}
venous_network,INSERT,{Trunk of right internal iliac vein;Venae comitantes of right superior gluteal vein}
arterial_network,INSERT,{Trunk of deep part of right superior gluteal artery;Trunk of superior division of deep part of right superior gluteal artery}
arterial_network,INSERT,{Trunk of aorta;Trunk of right superior phrenic artery}
venous_network,INSERT,{Trunk of inferior vena cava;Trunk of right inferior phrenic vein}
arterial_network,INSERT,{Trunk of right obturator artery;Trunk of iliac branch of right obturator artery}
arterial_network,INSERT,{Trunk of right superior gluteal artery;Trunk of iliacus part of right superior gluteal artery}
arterial_network,INSERT,{Trunk of right superior gluteal artery;Trunk of right nutrient artery to ilium}
arterial_network,INSERT,{Trunk of ascending part of right deep circumflex iliac artery;Trunk of internal oblique division of ascending part of right deep circumflex iliac artery}
venous_network,INSERT,{Trunk of azygos vein;Trunk of right subcostal vein}
venous_network,INSERT,{Trunk of right deep circumflex iliac vein;Venae comitantes of right deep circumflex iliac vein}
arterial_network,INSERT,{Trunk of right renal artery;Trunk of posterior segmental artery of the right renal artery}
venous_network,INSERT,{Trunk of right renal vein;Trunk of anterior tributary of right renal vein}
venous_network,INSERT,{Trunk of right renal vein;Trunk of posterior tributary of right renal vein}
venous_network,INSERT,{Trunk of right hepatic vein;Trunk of anterior superior segmental tributary of right hepatic vein}
venous_network,INSERT,{Trunk of right hepatic vein;Trunk of anterior inferior segmental tributary of right hepatic vein}
venous_network,INSERT,{Trunk of right hepatic vein;Trunk of posterior superior segmental tributary of right hepatic vein}
venous_network,INSERT,{Trunk of right hepatic vein;Trunk of posterior inferior segmental tributary of right hepatic vein}
venous_network,INSERT,{Trunk of right internal iliac vein;Trunk of right uterine vein}
arterial_network,INSERT,{Trunk of right superior gluteal artery;Trunk of right artery to piriformis}
venous_network,INSERT,{Trunk of inferior vena cava;Trunk of right ovarian vein}
arterial_network,INSERT,{Trunk of right inferior gluteal artery;Trunk of right accompanying artery of ischiadic nerve}
venous_network,INSERT,{Trunk of right superior intercostal vein;Trunk of right second posterior intercostal vein}
arterial_network,INSERT,{Trunk of ascending part of right deep circumflex iliac artery;Trunk of transversus abdominis division of ascending part of right deep circumflex iliac artery}
arterial_network,INSERT,{Trunk of right renal artery;Trunk of ascending ureteral branches of the right renal artery}
arterial_network,INSERT,{Trunk of right renal artery;Trunk of descending ureteral branches of the right renal artery}
venous_network,INSERT,{Trunk of right renal vein;Trunk of ureteral tributary of right renal vein}
venous_network,INSERT,{Trunk of accessory hemiazygos vein;Trunk of left seventh posterior intercostal vein}
venous_network,INSERT,{Trunk of azygos vein;Trunk of right seventh posterior intercostal vein}
venous_network,INSERT,{Trunk of accessory hemiazygos vein;Trunk of left sixth posterior intercostal vein}
venous_network,INSERT,{Trunk of azygos vein;Trunk of right sixth posterior intercostal vein}
arterial_network,INSERT,{Trunk of left inferior gluteal artery;Trunk of cutaneous branch of left inferior gluteal artery}
arterial_network,INSERT,{Trunk of right inferior gluteal artery;Trunk of cutaneous branch of right inferior gluteal artery}
venous_network,INSERT,{Trunk of inferior vena cava;Trunk of dorsal tributary of right third lumbar vein}
venous_network,INSERT,{Trunk of inferior vena cava;Trunk of dorsal tributary of right fourth lumbar vein}
venous_network,INSERT,{Trunk of inferior vena cava;Trunk of dorsal tributary of right first lumbar vein}
venous_network,INSERT,{Trunk of inferior vena cava;Trunk of dorsal tributary of right second lumbar vein}
arterial_network,INSERT,{Trunk of right subcostal artery;Trunk of posterior branch of right subcostal artery}
arterial_network,INSERT,{Trunk of celiac artery;Trunk of splenic artery}
venous_network,INSERT,{Trunk of pre-hepatic portal vein;Trunk of splenic vein}
arterial_network,INSERT,{Trunk of left renal artery;Trunk of superior segmental artery of the left renal artery}
arterial_network,INSERT,{Trunk of left renal artery;Trunk of anterosuperior segmental artery of the left renal artery}
arterial_network,INSERT,{Trunk of right renal artery;Trunk of superior segmental artery of the right renal artery}
arterial_network,INSERT,{Trunk of right renal artery;Trunk of anterosuperior segmental artery of the right renal artery}
